UNITID,Instruction,Research and Public Service,"Academic and Institutional Support, and Student Services",Total Expenses,Year
405854,242529,0,423105,,2001
406200,3272958,0,2737474,,2001
407629,2580769,45518,3414561,,2001
407665,182995,30314,300628,,2001
408437,140794,0,7358,,2001
408747,827646,0,319221,,2001
408844,931136,0,3605532,,2001
409050,543926,0,0,,2001
409254,824194,5059470,2202646,,2001
409616,3463000,0,3374000,,2001
409689,656200,0,470937,,2001
411754,654594,0,394207,,2001
411806,179726,0,490868,,2001
412173,1165299,0,410926,,2001
413501,106003,0,69323,,2001
413565,910189,0,1767452,,2001
413617,1573653,0,2997694,,2001
414966,627397,0,2007500,,2001
415987,993526,0,735650,,2001
417327,362163,0,1057297,,2001
417345,0,0,0,,2001
417734,615157,0,149208,,2001
417752,270262,0,370148,,2001
417901,0,0,0,,2001
418126,3822201,0,4199287,,2001
418418,0,0,0,,2001
418463,3804,0,5896,,2001
419217,166903,0,63007,,2001
419305,187783,0,407683,,2001
420246,4328990,0,976201,,2001
420325,241832,0,250810,,2001
420352,107154,10071,456844,,2001
420945,141462,0,99456,,2001
421939,7874565,532407,9107921,,2001
423643,5210567,423099,10677774,,2001
425296,161321,0,2519834,,2001
427308,2463531,0,570768,,2001
427894,531688,0,0,,2001
427919,829764,0,0,,2001
428259,283001,0,532596,,2001
428338,550170,107847,517472,,2001
429076,297468,0,559713,,2001
429128,562811,0,991927,,2001
430342,1035471,0,0,,2001
430476,162182,0,208894,,2001
430573,300831,0,256038,,2001
430591,1130969,469982,619054,,2001
430670,783478,12486,905330,,2001
430810,403824,0,574444,,2001
431178,674488,0,1090138,,2001
431248,5529000,2296000,961000,,2001
431309,1132390,0,4886027,,2001
431512,84977,0,78530,,2001
431594,67079,0,0,,2001
431600,235689,0,129733,,2001
431743,1059532,70852,2735617,,2001
431804,60039,0,0,,2001
431822,80000,0,0,,2001
431901,1059532,70852,2735617,,2001
431929,275077,0,704740,,2001
431983,812220,0,583795,,2001
432108,978115,254000,670545,,2001
432269,661094,0,0,,2001
432348,1477340,0,2377280,,2001
432357,157312,0,426042,,2001
432524,888377,0,1194065,,2001
433147,0,0,791573,,2001
433156,205957,0,95239,,2001
433165,57960,0,0,,2001
433217,56526,0,450,,2001
433280,3969191,0,4243312,,2001
433299,89024,0,80370,,2001
433305,203351,0,0,,2001
433387,0,0,5398794,,2001
434016,588352,0,518495,,2001
434034,4820065,0,4185139,,2001
434122,98464,0,86057,,2001
434131,679950,0,304113,,2001
434362,105486,0,172912,,2001
434414,815142,9304,733403,,2001
434584,3121412,281278,5392398,,2001
434937,2503878,0,573687,,2001
435338,10503194,0,5949724,,2001
436012,204269,0,811804,,2001
436021,58475,0,103422,,2001
436553,340259,0,145825,,2001
436562,240176,0,240175,,2001
436614,112883,0,237780,,2001
436748,2027597,0,659441,,2001
437316,2665106,0,1286364,,2001
437325,1461110,0,467749,,2001
437653,168324,59654,472473,,2001
437705,9879,391,172501,,2001
437723,1091777,0,857824,,2001
438179,482585,0,192486,,2001
438577,0,0,0,,2001
439093,654594,0,394207,,2001
439321,637683,0,3968378,,2001
439446,125297,0,43343,,2001
439516,354312,0,177156,,2001
439613,1059079,160876,501234,,2001
439686,608858,0,597497,,2001
439701,601776,120770,1747040,,2001
439756,184935,0,63805,,2001
439783,0,0,0,,2001
439817,373987,0,376608,,2001
439880,39290,570,21780,,2001
439923,1700527,0,535653,,2001
440004,146744,0,155873,,2001
440013,338567,0,540773,,2001
440138,22618821,3334817,23992035,,2001
440271,1563350,0,1512501,,2001
440396,271018,0,48148,,2001
440651,125491,0,0,,2001
440837,187066,0,170409,,2001
101116,567277,0,1214213,1928155,2001
101231,508189,0,264000,1664184,2001
101365,1697776,0,1066270,3574440,2001
101958,240760,0,338320,579080,2001
102845,1150585,0,2686516,3837101,2001
103501,492196,0,906442,1612735,2001
103644,676288,0,2114417,2834739,2001
103723,3296875,0,13085653,17713549,2001
103732,1530660,79337,2018108,5428482,2001
103811,551870,0,1643590,3009117,2001
103893,750271,0,1603784,2372289,2001
103909,746542,0,1456133,2214723,2001
103927,719119,0,1323391,2085254,2001
103945,151049,0,0,151049,2001
103954,311466,0,53194,364660,2001
104188,631886,0,1562700,2199077,2001
104294,146479,0,94063,908937,2001
104364,991199,0,44613,2997262,2001
104391,41800,0,0,212932,2001
104504,260122,0,982622,1619185,2001
104522,236070,0,0,236070,2001
104531,9553516,0,13022371,25018578,2001
104568,246727,0,0,507404,2001
104805,9062776,0,16013393,25089656,2001
104911,134337,0,32405,426895,2001
104984,300202,0,1130486,1500316,2001
105118,861521,575926,914986,2352433,2001
105127,218250,0,41680,440693,2001
105163,1139294,0,2234745,3422378,2001
105172,1686799,0,2880760,4667982,2001
105215,3538000,0,8302000,13563000,2001
105242,234410,0,144767,678633,2001
105482,1093242,0,395440,2131369,2001
105516,12310000,0,23818000,36427000,2001
105534,921745,0,1209130,1404574,2001
105543,608822,0,832191,963589,2001
105659,670000,0,1360605,2030605,2001
105677,258967,0,224158,483125,2001
105701,216789,0,407504,1036361,2001
105880,87430,0,340715,610903,2001
105987,499247,0,942410,1474579,2001
106041,6700000,0,13930000,21795000,2001
106102,1597000,0,6318000,7915000,2001
106111,210404,10906,277408,746196,2001
106281,49886,0,0,172517,2001
106315,59579,0,0,129740,2001
106351,149707,0,0,282944,2001
106360,52851,0,0,141379,2001
106494,365503,0,113290,357340,2001
106607,55098,0,0,125290,2001
106759,86668,0,0,89395,2001
106838,93519,0,49857,143376,2001
106892,132750,0,197782,390057,2001
106908,152575,0,0,152575,2001
107099,95997,0,86849,326653,2001
107211,143658,3329,43709,243101,2001
107220,55549,0,142206,197755,2001
107275,31868,0,57203,89071,2001
107293,81121,0,0,170738,2001
107363,37519,0,0,108919,2001
107442,126419,0,0,139001,2001
107655,57853,0,0,140075,2001
107831,110061,0,107301,217362,2001
107886,197910,0,43910,432765,2001
108065,64400,0,120290,184690,2001
108232,17809356,0,41890198,77579848,2001
108250,1998943,0,3420532,5539088,2001
108287,645512,356436,783359,2180700,2001
108348,656340,0,671962,1347201,2001
108393,532719,0,63768,2374323,2001
108649,111995,0,326724,438719,2001
108977,23519,0,6000,47766,2001
109013,7824952,0,8423880,16248832,2001
109040,2489669,0,6511798,9154653,2001
109332,157288,0,872899,1030187,2001
109721,1336496,0,2840568,4177064,2001
109730,0,0,0,0,2001
109749,0,0,0,0,2001
109934,463572,78624,264635,815464,2001
110176,3698092,0,10815351,19539689,2001
110185,3393376,0,8324128,11833605,2001
110194,234441,0,219131,453572,2001
110219,452797,0,378997,934149,2001
110325,401463,0,907307,1345675,2001
110875,141656,0,284567,426223,2001
110945,149757,0,311991,465993,2001
111009,5053163,0,12301444,21273337,2001
111054,136320,0,281142,417462,2001
111230,1702024,0,2596352,4885544,2001
111513,517938,0,50000,1535772,2001
112288,580288,202608,593079,1993784,2001
112455,94823,0,134920,234023,2001
112516,901617,0,2696605,3598222,2001
112783,610793,0,0,1715351,2001
113227,50000,0,50000,1837358,2001
113397,186378,0,0,236867,2001
113582,595803,0,734783,3094347,2001
113607,9016833,0,15340538,27065129,2001
113908,219639,0,0,429182,2001
114044,39717,0,6564,163995,2001
114071,653718,0,0,1280660,2001
114114,612379,7875,2081342,2908566,2001
114123,2362803,0,3440067,5806339,2001
114354,19421363,0,32230802,52906700,2001
114372,238328,0,857905,1157748,2001
114460,285349,0,15480,1064380,2001
114761,58334,0,249238,293936,2001
114895,924657,0,2019798,3014469,2001
115010,2447947,0,5816249,8604782,2001
115357,125597,0,66315,565640,2001
115658,270882,0,0,595478,2001
115746,2700618,821664,6328248,10549127,2001
115782,262375,0,195057,739196,2001
115931,660790,0,817067,2509110,2001
116040,520000,0,1927110,2839763,2001
116226,294880,0,1901170,2354691,2001
116350,64224,0,16196,257498,2001
116466,2767106,0,5226402,8255061,2001
116475,2697770,0,4523411,7378873,2001
116484,2100763,0,4498711,6709202,2001
116563,623496,63069,318185,1017633,2001
117113,2065174,0,568248,2811572,2001
117186,57995,0,0,329936,2001
117238,150080,0,430311,580391,2001
117928,1091164,0,3556293,6163365,2001
118116,354956,0,0,354956,2001
118125,238977,0,0,238977,2001
118134,188798,0,27286,489052,2001
118143,141598,0,20464,366789,2001
118161,462690,0,275559,738249,2001
118189,470549,0,336073,939673,2001
118198,0,0,0,0,2001
118259,375222,264117,717659,1356998,2001
118277,26537460,1492065,5422896,47093669,2001
118286,1309713,0,0,2997576,2001
118356,134005,0,140008,274595,2001
118374,131572,0,131002,269768,2001
118383,108349,0,101511,221183,2001
118392,157089,0,161317,347278,2001
118417,219383,0,150801,396588,2001
118426,221095,0,164119,401882,2001
118435,154855,0,151323,334375,2001
118444,115173,0,130464,248231,2001
118453,187075,0,143149,348906,2001
118480,164615,0,148190,337777,2001
118921,290000,0,0,820637,2001
118958,143589,0,176207,323840,2001
118967,988675,456057,866476,2311208,2001
118994,36128,0,0,160578,2001
119128,17547,0,8553,44067,2001
119155,383649,0,83127,466776,2001
119270,2439204,0,4673202,7452670,2001
119340,1007381,0,2590321,3597702,2001
119359,1012384,0,2539950,3552334,2001
119368,714392,0,2187515,2901907,2001
119438,1179494,0,2647735,3827229,2001
119456,949009,0,2394160,3343169,2001
119465,1352559,0,3151133,4503692,2001
119508,1163238,0,2922645,4085883,2001
119553,804765,0,415416,3366174,2001
119775,618389,0,521310,1778795,2001
119827,239814,0,197070,459407,2001
119845,424765,0,0,1186287,2001
119951,124606,0,39696,613483,2001
120069,0,0,0,0,2001
120078,0,0,0,0,2001
120087,0,0,0,0,2001
120272,108299,0,218038,377348,2001
120661,1050000,0,1737000,2787000,2001
121008,211325,0,0,211325,2001
121017,206203,0,0,442354,2001
121275,1164091,0,2128277,3292368,2001
121381,222438,0,595723,818161,2001
121433,284971,0,94980,476132,2001
121859,128666,0,8826,334972,2001
121868,0,0,0,0,2001
121992,243908,0,210137,773944,2001
122010,3002636,0,2713086,5715722,2001
122366,1074800,0,618675,1863764,2001
122685,9370790,0,15021204,24391994,2001
122843,1823756,0,2369944,6786976,2001
123110,208957,0,55994,412792,2001
123208,2423392,0,5601800,8025192,2001
123350,72637,0,148840,221477,2001
123396,695971,0,198774,894745,2001
123581,189008,0,268172,457179,2001
123642,627593,0,1576193,2203786,2001
123679,1682000,0,1889000,3571000,2001
124399,646437,0,69582,1703768,2001
124432,328599,0,712726,1041325,2001
124496,296253,317395,286439,1255577,2001
124681,7703838,0,23854767,31558605,2001
124706,2132000,0,1938000,4070000,2001
124937,2658000,0,2328000,4986000,2001
125082,171371,0,312253,483624,2001
125231,11785200,0,5441800,17227000,2001
125532,6052923,0,6557333,12610256,2001
126030,2217052,0,6344200,11347440,2001
126164,13324,600,9597,292841,2001
126261,193815,0,332770,526585,2001
126359,1372546,0,3505549,4878095,2001
126401,697187,0,2216453,3213976,2001
126605,2283476,0,2291875,7696450,2001
126687,1100000,0,1525000,2625000,2001
126702,5350407,0,11868287,23469665,2001
126784,244045,0,770789,1014834,2001
126827,6392805,0,2533481,10260959,2001
126854,362512,18790,477957,1285649,2001
126872,651672,0,1091699,2516853,2001
126924,309266,0,803085,1217811,2001
126951,1290224,1339422,1425712,4861343,2001
127024,3883044,0,4013208,12681671,2001
127042,2323492,0,3852223,12034723,2001
127219,54563,0,378218,432781,2001
127228,132665,0,74138,545202,2001
127316,236482,0,277090,513572,2001
127680,363764,0,1245618,1609382,2001
127699,470669,0,1560463,2033686,2001
127787,715669,0,2367285,3354203,2001
127839,595271,0,1005398,1682002,2001
127945,1629341,0,2777488,4520221,2001
128179,835639,0,924681,1760320,2001
128188,482195,0,820064,1302259,2001
128540,152125,500,30000,401518,2001
128674,2061043,0,5362981,7424024,2001
128683,1243968,0,3306502,4697979,2001
128762,396659,0,902931,1458706,2001
128896,601016,0,1505883,2769937,2001
128957,228328,0,592936,821264,2001
129002,755862,0,188966,1771564,2001
129154,3688815,0,3688814,7377629,2001
129181,2441632,0,2579886,5608447,2001
129349,2316,0,391992,392208,2001
129482,465869,1788,273486,2307624,2001
129613,1356811,0,4143189,5500000,2001
129640,410238,0,8022,495120,2001
129923,3250248,0,0,6439507,2001
129932,897876,0,1544593,2444669,2001
129969,262280,0,567044,829324,2001
130110,822746,0,1211563,2148162,2001
130129,101706,0,96578,299945,2001
130147,391798,0,1641772,2033570,2001
130174,3797808,0,1265937,8735607,2001
130208,126419,0,0,139001,2001
130509,398883,0,827312,1477343,2001
130581,369547,0,0,820125,2001
130873,206283,0,516311,722594,2001
131061,167184,0,387365,554549,2001
131566,12000,0,0,17032583,2001
131742,1052572,0,1784620,5098916,2001
131803,33699000,0,13094000,73858000,2001
132268,643703,0,2377771,3021474,2001
132338,6308335,0,14142998,31638275,2001
132666,96987,0,48566,145553,2001
132806,695543,0,890319,1585862,2001
133261,736666,0,838840,1575506,2001
133465,1103306,0,2150252,3496552,2001
133845,691000,0,1248000,1939000,2001
133854,1159000,0,1486000,2645000,2001
133863,819000,0,1453000,2272000,2001
133942,0,0,485179,485179,2001
133997,2738178,0,4775990,7514168,2001
134112,2204988,0,2169925,6276392,2001
134121,558798,0,815770,1839950,2001
134149,1356905,0,4095744,5938578,2001
134228,112688,9557,811,123056,2001
134237,9956237,0,21353375,38443849,2001
134422,638584,0,564643,1203227,2001
134574,591586,0,100000,1170286,2001
134680,2753125,0,12964348,16766187,2001
134714,360129,0,0,966662,2001
134811,2532407,0,3710735,9378699,2001
134909,2460719,0,4306072,6860370,2001
135081,8026000,316000,23273000,36983000,2001
135124,179906,0,307534,307534,2001
135142,211413,0,756051,1722783,2001
135337,299068,0,60000,793946,2001
135416,324311,0,0,758154,2001
135434,115386,0,627746,743132,2001
135771,326681,0,0,2766442,2001
135939,6554858,0,5565921,12120779,2001
135957,4451153,0,8067564,12518717,2001
136048,115475,0,169751,699465,2001
136066,4589761,0,0,15047047,2001
136075,235172,0,736121,971293,2001
136109,124516,0,59709,251184,2001
136288,1538407,0,4227823,6184829,2001
136631,84630,0,17907,413981,2001
136747,4050518,0,4313394,14536011,2001
136783,1911,0,0,46827,2001
136853,180000,0,22000,728432,2001
136862,57517,0,50478,258535,2001
136871,0,0,0,347356,2001
136941,199702,0,203735,403437,2001
137148,2214913,0,2332339,4547252,2001
137537,313793,0,0,1402632,2001
137591,0,0,44469,621362,2001
137625,157147,0,0,531578,2001
137801,1775714,0,3432205,5633891,2001
137810,1350651,0,3143234,4833100,2001
138132,93006,0,83897,390757,2001
138309,946849,0,3427989,4374838,2001
138594,2723050,0,10285233,13008283,2001
138655,980247,0,1919152,2899399,2001
138664,195489,0,369888,632176,2001
138725,1857913,0,13887620,16457742,2001
138813,7235039,0,12325499,23951009,2001
138822,200000,0,40000,460000,2001
138938,462538,0,2575039,3037577,2001
139074,2396572,995933,3196290,6588795,2001
139092,125135,0,272405,397540,2001
139214,356853,0,765897,1387578,2001
139506,142173,0,33919,258933,2001
139533,8810494,0,13413215,23167853,2001
139579,1437202,0,2462707,4176414,2001
139898,586507,0,2602424,3188931,2001
140003,426102,0,494323,920425,2001
140191,0,0,0,0,2001
140340,1143382,0,1533041,2877623,2001
140711,53300,0,56498,146806,2001
140827,820581,0,1935516,2756097,2001
141015,824630,0,1093113,1931195,2001
141583,0,0,0,0,2001
141608,407260,0,160000,567260,2001
141671,179391,0,500081,717060,2001
141848,276964,0,587631,864595,2001
141857,155906,0,0,529295,2001
141945,908384,0,393141,1320334,2001
142054,543917,50061,1312000,1905978,2001
142124,351006,0,0,351006,2001
142160,499508,0,0,499508,2001
142337,1680679,0,2730217,4469097,2001
142407,92137,0,156339,374176,2001
142416,100000,0,0,360182,2001
142489,120283,0,0,288247,2001
142850,102137,0,152268,254405,2001
142869,975456,0,511652,1487108,2001
142878,933362,0,45640,979002,2001
142887,1100587,0,3963893,5064480,2001
143075,3103827,0,0,3103827,2001
143376,254000,0,569176,823176,2001
143464,610578,0,0,737110,2001
143473,440915,0,143627,813044,2001
143482,73264,0,23865,132815,2001
143491,386300,0,125836,712334,2001
143507,57279,0,8754,105622,2001
143516,146528,0,47731,267184,2001
143543,165739,0,0,605776,2001
143552,769926,0,832616,1875268,2001
143695,142753,0,0,511364,2001
143880,323787,0,1328944,1754017,2001
144236,71812,0,0,256099,2001
144467,2736823,0,5656896,9197020,2001
144485,2821652,0,1602037,4423689,2001
144573,320051,0,142510,462561,2001
144759,10137398,0,18605385,30936648,2001
144768,9097740,0,15470862,28043355,2001
144795,329040,0,0,329040,2001
144856,737769,0,0,737769,2001
145099,646866,0,66598,713464,2001
145239,642342,0,1641424,2441883,2001
145309,174380,0,199527,374357,2001
145424,106514,5521,140435,377753,2001
145433,159382,8261,210138,565248,2001
145460,1361763,0,480634,7521167,2001
145770,1874743,0,2293700,4305732,2001
146010,4394156,0,14723139,19117295,2001
146214,94903,0,27297,273047,2001
146384,1532156,0,10462524,12972242,2001
146700,1449363,1072705,821026,4173957,2001
146807,58697,0,111951,539927,2001
147165,586603,0,1310786,2627302,2001
147439,309858,0,231188,231228,2001
147642,62332,0,190660,252992,2001
147749,4161972,0,7451552,12295054,2001
147819,290246,0,0,290246,2001
147970,1899326,0,0,3686456,2001
148098,236025,0,0,236025,2001
148177,6676826,0,12799934,25937821,2001
148399,449989,0,1131250,1778358,2001
148973,110289,0,127798,238428,2001
149204,944547,0,150258,1115179,2001
149310,205721,0,31312,785583,2001
149550,201997,0,0,400061,2001
150075,75260,0,66898,167244,2001
150251,366384,0,242767,609151,2001
150303,338783,0,368333,721046,2001
150428,116148,0,182048,298196,2001
150437,132198,0,97923,230121,2001
150525,118882,0,10555,255780,2001
150695,274929,0,0,552565,2001
150710,278518,0,0,566113,2001
150765,69099,0,49986,250922,2001
150853,219189,3669,6809,325575,2001
151157,260589,0,1031520,1841214,2001
151166,911388,0,3619198,6327045,2001
151184,167998,0,778358,1333180,2001
151193,330870,0,1051795,1879258,2001
151209,415140,0,1288881,2267984,2001
151236,485969,0,1464028,2798792,2001
151245,241784,802392,0,1365185,2001
151458,776280,0,2018044,3606986,2001
151467,395454,0,1373739,2214553,2001
151485,0,0,33151809,32556877,2001
151494,2105414,0,3642732,5886519,2001
151500,2107694,0,3790098,5987752,2001
151519,3751418,0,6399843,10292085,2001
151564,30307,0,119431,151738,2001
151607,293040,0,0,293040,2001
151616,285376,0,1121440,1499431,2001
151625,309253,0,739000,1082822,2001
151652,707026,0,214707,951733,2001
151661,3208174,2989749,2231890,9075465,2001
151829,194387,0,0,356635,2001
151874,220217,0,186516,406733,2001
151944,435754,0,1076822,1661432,2001
152044,80798,0,146500,247965,2001
152150,87520,7035,12199,137045,2001
152220,1281980,0,821971,2217258,2001
152275,232189,0,464057,696246,2001
152309,167730,0,178333,346063,2001
152327,0,0,0,1204687,2001
152415,396736,0,884753,1281489,2001
152424,484661,0,1125960,1610621,2001
152628,71672,0,0,227244,2001
153038,30422,0,0,119930,2001
153074,230473,0,122057,935591,2001
153083,222159,0,103850,858866,2001
153092,158885,0,0,158885,2001
153171,112060,0,86574,217282,2001
153339,33270,56,139508,176923,2001
153418,713773,498500,633774,1846047,2001
153427,927331,0,1266184,2777616,2001
153588,299873,0,0,299873,2001
153597,143870,0,270162,490402,2001
153746,178848,0,0,742669,2001
153764,187626,0,0,868804,2001
153773,0,0,0,602209,2001
153782,92820,0,0,402962,2001
154165,118506,0,108087,258927,2001
154208,121039,1755,0,404084,2001
154332,110094,0,0,345393,2001
154341,236525,0,0,842282,2001
154448,192145,0,147562,908942,2001
154466,181542,0,232336,413878,2001
154484,16600,0,0,77886,2001
154545,48574,0,106810,361590,2001
154633,4113,0,0,289518,2001
154767,431158,0,1220741,1726803,2001
154776,465797,0,1671887,2288682,2001
154794,646389,0,1947929,2594318,2001
154819,49657,0,24820,346778,2001
154970,91801,0,162986,430261,2001
155159,167511,0,0,167511,2001
155283,1228000,0,1516000,2744000,2001
155353,147188,0,124486,271674,2001
155441,0,0,0,0,2001
155867,133959,0,0,299444,2001
156019,1721250,0,2105494,3826744,2001
156134,132152,0,65916,607265,2001
156277,150288,0,128654,278942,2001
156310,895876,106775,37637,1291598,2001
156426,73200,0,0,161905,2001
156444,81961,0,0,165721,2001
156471,1195446,0,1849703,3045149,2001
156611,54232,0,0,112478,2001
156675,42997,0,10315,101371,2001
156754,128445,43,5536,172121,2001
156815,14446,0,5519,39912,2001
156842,235608,0,177740,413348,2001
156903,255587,0,774297,1029884,2001
156949,61619,0,21507,83126,2001
156967,71811,0,0,302385,2001
157021,1874971,0,3884170,6037630,2001
157270,1800203,0,2519951,5783778,2001
157395,28000,0,52300,80300,2001
157456,51532,0,0,137765,2001
157465,672369,0,0,2630934,2001
157508,13982,0,0,36650,2001
157599,876580,0,1353676,2230256,2001
157614,82579,0,81793,365894,2001
157650,130925,0,15957,404065,2001
157669,93129,0,18655,171907,2001
157678,93694,0,16736,265997,2001
157696,707292,0,1075427,1794396,2001
157766,1106693,0,2631799,4025012,2001
157793,7442688,0,16054848,25695273,2001
157827,118085,0,0,364874,2001
157845,131845,0,0,132745,2001
158079,233149,0,0,233149,2001
158158,51957,0,63498,304536,2001
158246,265850,1092,150518,730775,2001
158282,56845,0,90880,147725,2001
158343,451898,0,35000,1164000,2001
158440,277820,0,586804,864624,2001
158538,46372,0,0,113321,2001
158617,546801,0,0,1088292,2001
158644,64352,0,117907,217655,2001
158723,810965,0,1823440,2721441,2001
158778,35663,0,126229,161892,2001
158787,21169,0,83498,116164,2001
158954,220054,0,90600,459021,2001
159027,743616,0,0,743616,2001
159197,1316263,0,1984891,3303724,2001
159319,180000,0,170000,350000,2001
159328,99090,0,17930,117020,2001
159513,320296,0,190755,511051,2001
159522,87178,0,25075,263100,2001
159531,226192,0,0,226192,2001
159601,196544,0,104781,301325,2001
159780,90885,7776,49989,340816,2001
159799,16285,0,446283,446689,2001
160117,39454,0,36464,164381,2001
160126,33784,0,50266,164654,2001
160135,21325,0,38619,118898,2001
160144,21951,0,26973,141514,2001
160199,142303,0,25749,168052,2001
160250,3478312,0,3335546,6813858,2001
160320,400406,0,413477,813883,2001
160348,62365,0,0,116636,2001
160445,64419,0,76303,140722,2001
160472,124803,0,0,356086,2001
160524,2588023,0,2189978,4778001,2001
160597,307576,0,106100,776793,2001
160940,1058969,0,1344497,3791837,2001
160995,453230,0,775034,1404227,2001
161396,219234,0,477914,678972,2001
161402,109520,0,319444,442512,2001
161493,443744,0,1050317,1494061,2001
161527,93801,0,106000,436007,2001
161615,221888,0,42596,289561,2001
161624,1334630,0,1188379,3155690,2001
161651,229690,0,0,231596,2001
161800,64157,0,0,206991,2001
161855,252236,0,154595,406831,2001
162335,88562,0,2229,310856,2001
162371,194121,0,745897,984738,2001
162681,928326,437024,952682,2318032,2001
162982,166776,0,97270,957905,2001
163028,2700933,2091584,1743624,7969371,2001
163107,145959,0,89459,235418,2001
163347,2142651,0,2629247,5667452,2001
163408,347677,0,0,643249,2001
163541,568099,0,0,1067367,2001
163736,4660809,0,0,10098217,2001
163754,118270,0,217492,335762,2001
163815,211941,0,0,211941,2001
164599,602500,0,362390,1183886,2001
164678,945261,419660,651863,2133182,2001
164845,613650,0,946116,1559766,2001
165149,317393,0,9412,621428,2001
165255,924332,0,442794,1939822,2001
165556,0,0,0,1683910,2001
165635,504908,0,1729828,2285127,2001
165750,54378,0,133517,451676,2001
166009,685120,0,944932,1972780,2001
166063,245933,0,0,2839000,2001
166276,1651952,0,1076665,11636780,2001
166294,235913,0,161151,397064,2001
166319,0,0,0,0,2001
166328,356456,0,187238,543694,2001
166498,65369,0,0,554160,2001
166595,171155,0,167341,633057,2001
166805,500,0,0,256787,2001
166975,572448,0,1267001,2304612,2001
167020,778792,0,2359674,3138466,2001
167039,36860,0,59882,232544,2001
167224,436896,0,1295360,1732256,2001
167321,3259450,0,5951621,12787268,2001
167543,450000,0,100000,1438079,2001
167738,884056,0,1025459,2247387,2001
168032,53911,0,72229,230813,2001
168519,642440,0,120493,762933,2001
168555,50170,0,0,154956,2001
168573,319773,0,1173585,1493358,2001
168892,177255,0,206300,383555,2001
169187,685120,0,570133,1255253,2001
169284,599937,90965,1128553,1820832,2001
169503,185084,0,181051,797121,2001
169576,354773,0,313630,698097,2001
169655,1501706,0,2342314,3844020,2001
169761,1140152,0,2894258,4580478,2001
169831,255823,0,302820,558643,2001
169947,99496,0,48410,240394,2001
170046,1331295,0,2439804,3771099,2001
170338,72435,0,0,140075,2001
170417,1805814,0,2987354,4863273,2001
170514,211941,0,0,211941,2001
170611,382777,0,0,382777,2001
170736,56493,0,151608,208101,2001
171261,80994,0,0,200723,2001
171313,555046,0,2008510,2563556,2001
171322,1916316,0,3752093,5679267,2001
171465,44800,0,15400,103800,2001
171775,139216,0,0,291342,2001
172015,4628939,0,10488227,15117166,2001
172325,722853,0,8303,3715353,2001
172486,220900,0,0,958716,2001
172495,384644,0,544703,929347,2001
172556,396922,0,1049076,1445998,2001
172802,12430,0,40896,53326,2001
172866,767897,0,246048,2666318,2001
173470,61673,0,1000,236560,2001
173489,938379,0,1218720,2157099,2001
173629,2417191,0,2842395,5571408,2001
173726,44604,0,10000,178863,2001
173744,1673414,0,2807322,136808000,2001
173850,907902,0,1524652,2838209,2001
173887,1764154,0,5576874,10351005,2001
173939,651566,0,132283,1962668,2001
173975,148521,7698,195818,526728,2001
173984,1798101,61665,2774306,5572507,2001
174118,695806,0,1680120,3119445,2001
174154,573546,0,796176,1522233,2001
174190,118706,0,33000,285660,2001
174279,2628708,0,7913083,10541791,2001
174321,190000,0,57000,813731,2001
174385,637302,0,1576095,2217926,2001
174394,11032000,0,0,21652000,2001
174464,806009,0,1558959,2364968,2001
174482,440891,0,361049,1356493,2001
174534,4500,283625,233334,599312,2001
174622,874680,0,1692664,2567344,2001
174631,1158895,0,0,2487141,2001
174686,32000,0,68000,146140,2001
174978,226985,0,120000,758461,2001
175014,1307818,0,1495462,2863280,2001
175148,309123,0,50000,810953,2001
175476,32939,0,45909,78848,2001
175494,171356,4557,26061,395032,2001
175591,0,0,0,0,2001
175607,91390,0,95017,186407,2001
175698,14277,0,31017,46294,2001
175713,48000,0,11775,127309,2001
175722,68150,0,108401,176551,2001
176062,92947,0,172821,265768,2001
176390,284688,0,310198,594886,2001
176415,17000,0,0,82339,2001
176497,78652,6685,311977,419210,2001
176549,724019,0,2548013,3874224,2001
176637,1974340,0,3354827,5420166,2001
176716,37090,0,151819,189759,2001
176804,156549,0,0,156549,2001
176992,0,0,0,136587,2001
177074,554456,0,0,761535,2001
177153,786435,0,1099573,1886008,2001
177162,8211337,0,10486669,21206832,2001
177287,88908,0,445442,534350,2001
177302,554570,0,643883,2595908,2001
177579,526962,0,1648638,2699367,2001
177588,53062,0,290609,345196,2001
177603,108884,0,0,547294,2001
177685,138228,0,140547,278775,2001
178004,114683,0,0,966578,2001
178077,25878,0,30549,382454,2001
178110,550602,0,612756,2248540,2001
178183,118301,0,0,1104012,2001
178226,4290,0,58293,182987,2001
178262,40543,0,0,110704,2001
178305,1335642,839,3013272,4549759,2001
178314,249579,0,0,249579,2001
178350,870547,167682,1004122,2042351,2001
178484,249837,0,568721,818558,2001
178527,74878,0,24000,249290,2001
178767,315682,0,773427,1089109,2001
179070,763781,0,2453449,3513144,2001
179195,22230,0,91598,113827,2001
179201,4839697,0,11228105,17329931,2001
179229,50118,0,1173,135399,2001
179511,702682,0,646839,2454379,2001
179991,91654,0,0,254166,2001
180063,80273,0,71050,151232,2001
180124,100461,0,0,526411,2001
180391,206913,0,0,206913,2001
180771,208178,0,146729,613946,2001
180957,606852,0,46783,903645,2001
181136,37041,0,0,116872,2001
181190,2290825,0,0,2290825,2001
181242,875643,586089,858779,2320511,2001
181400,1051889,0,699293,2599777,2001
181677,115854,0,113771,269691,2001
181880,871086,0,431959,1290632,2001
